step,front_roll_raw_deg,front_pitch_raw_deg,front_yaw_raw_deg,rear_roll_raw_deg,rear_pitch_raw_deg,rear_yaw_raw_deg,front_roll_bias_deg,front_pitch_bias_deg,front_yaw_bias_deg,rear_roll_bias_deg,rear_pitch_bias_deg,rear_yaw_bias_deg,front_roll_meas_deg,front_pitch_meas_deg,front_yaw_meas_deg,rear_roll_meas_deg,rear_pitch_meas_deg,rear_yaw_meas_deg,front_roll_des_deg,front_pitch_des_deg,front_yaw_des_deg,rear_roll_des_deg,rear_pitch_des_deg,rear_yaw_des_deg,front_roll_cmd_deg,front_pitch_cmd_deg,front_yaw_cmd_deg,rear_roll_cmd_deg,rear_pitch_cmd_deg,rear_yaw_cmd_deg,front_q_ik_0_deg,front_q_ik_1_deg,front_q_ik_2_deg,rear_q_ik_0_deg,rear_q_ik_1_deg,rear_q_ik_2_deg,front_q_cmd_0_deg,front_q_cmd_1_deg,front_q_cmd_2_deg,rear_q_cmd_0_deg,rear_q_cmd_1_deg,rear_q_cmd_2_deg,front_q_sim_0_deg,front_q_sim_1_deg,front_q_sim_2_deg,rear_q_sim_0_deg,rear_q_sim_1_deg,rear_q_sim_2_deg,front_track_err_0_deg,front_track_err_1_deg,front_track_err_2_deg,rear_track_err_0_deg,rear_track_err_1_deg,rear_track_err_2_deg,front_residual_0,front_residual_1,front_residual_2,rear_residual_0,rear_residual_1,rear_residual_2,ik_error
750,-0.08321,0.069773,-0.00431,0.058326,-0.023378,0.003384,-0.089244,0.091766,0.005836,0.04199,-0.013355,-0.002309,0.006034,-0.021993,-0.010146,0.016336,-0.010023,0.005693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.118817,0.010849,-0.046766,-0.032739,-0.013899,-0.026113,-0.118817,0.010849,-0.046766,-0.032739,-0.013899,-0.026113,-0.095663,0.002943,-0.051487,-0.051564,-0.018555,-0.030929,-0.023154,0.007906,0.004722,0.018826,0.004655,0.004815,-0.0,0.0,0.0,-0.0,0.0,0.0,
780,-0.083204,0.06976,-0.004297,0.0583,-0.023382,0.003381,-0.089244,0.091766,0.005836,0.04199,-0.013355,-0.002309,0.006039,-0.022006,-0.010133,0.01631,-0.010027,0.00569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.118817,0.010849,-0.046766,-0.032739,-0.013899,-0.026113,-0.118817,0.010849,-0.046766,-0.032739,-0.013899,-0.026113,-0.095657,0.00293,-0.051468,-0.051551,-0.018544,-0.030917,-0.023159,0.007918,0.004703,0.018812,0.004645,0.004804,-0.0,0.0,0.0,-0.0,0.0,0.0,
810,-0.083198,0.069767,-0.00429,0.058305,-0.023366,0.003374,-0.089244,0.091766,0.005836,0.04199,-0.013355,-0.002309,0.006046,-0.021999,-0.010126,0.016315,-0.01001,0.005684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.118817,0.010849,-0.046766,-0.032739,-0.013899,-0.026113,-0.118817,0.010849,-0.046766,-0.032739,-0.013899,-0.026113,-0.095667,0.002938,-0.051462,-0.051542,-0.018545,-0.030911,-0.023149,0.00791,0.004697,0.018803,0.004646,0.004798,-0.0,0.0,0.0,-0.0,0.0,0.0,
840,-0.083187,0.06973,-0.004299,0.058306,-0.023383,0.003385,-0.089244,0.091766,0.005836,0.04199,-0.013355,-0.002309,0.006057,-0.022036,-0.010134,0.016315,-0.010028,0.005694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.118817,0.010849,-0.046766,-0.032739,-0.013899,-0.026113,-0.118817,0.010849,-0.046766,-0.032739,-0.013899,-0.026113,-0.095629,0.002923,-0.051463,-0.051557,-0.018547,-0.030912,-0.023188,0.007926,0.004697,0.018818,0.004648,0.004799,-0.0,0.0,0.0,-0.0,0.0,0.0,
870,-0.083201,0.069772,-0.004292,0.058307,-0.023372,0.003372,-0.089244,0.091766,0.005836,0.04199,-0.013355,-0.002309,0.006042,-0.021994,-0.010128,0.016316,-0.010016,0.005681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.118817,0.010849,-0.046766,-0.032739,-0.013899,-0.026113,-0.118817,0.010849,-0.046766,-0.032739,-0.013899,-0.026113,-0.09567,0.002935,-0.051469,-0.051547,-0.018545,-0.030922,-0.023146,0.007913,0.004704,0.018809,0.004646,0.004809,-0.0,0.0,0.0,-0.0,0.0,0.0,
900,-0.083197,0.069762,-0.00429,0.058295,-0.023369,0.00338,-0.089244,0.091766,0.005836,0.04199,-0.013355,-0.002309,0.006046,-0.022004,-0.010125,0.016305,-0.010014,0.005689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.118817,0.010849,-0.046766,-0.032739,-0.013899,-0.026113,-0.118817,0.010849,-0.046766,-0.032739,-0.013899,-0.026113,-0.095656,0.00293,-0.051463,-0.051541,-0.018539,-0.030904,-0.023161,0.007919,0.004698,0.018803,0.00464,0.004791,-0.0,0.0,0.0,-0.0,0.0,0.0,
930,-0.083196,0.069753,-0.00429,0.058292,-0.023379,0.003378,-0.089244,0.091766,0.005836,0.04199,-0.013355,-0.002309,0.006047,-0.022013,-0.010126,0.016302,-0.010024,0.005688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.118817,0.010849,-0.046766,-0.032739,-0.013899,-0.026113,-0.118817,0.010849,-0.046766,-0.032739,-0.013899,-0.026113,-0.095652,0.002929,-0.051465,-0.051547,-0.018538,-0.030908,-0.023164,0.00792,0.0047,0.018809,0.004638,0.004795,-0.0,0.0,0.0,-0.0,0.0,0.0,
960,-0.083201,0.069756,-0.004282,0.058294,-0.023379,0.003382,-0.089244,0.091766,0.005836,0.04199,-0.013355,-0.002309,0.006042,-0.02201,-0.010118,0.016304,-0.010024,0.005692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.118817,0.010849,-0.046766,-0.032739,-0.013899,-0.026113,-0.118817,0.010849,-0.046766,-0.032739,-0.013899,-0.026113,-0.095664,0.002928,-0.051465,-0.051549,-0.018537,-0.030909,-0.023152,0.00792,0.004699,0.01881,0.004638,0.004796,-0.0,0.0,0.0,-0.0,0.0,0.0,
990,-0.083197,0.069772,-0.004295,0.058282,-0.023374,0.003373,-0.089244,0.091766,0.005836,0.04199,-0.013355,-0.002309,0.006047,-0.021993,-0.01013,0.016292,-0.010019,0.005682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.118817,0.010849,-0.046766,-0.032739,-0.013899,-0.026113,-0.118817,0.010849,-0.046766,-0.032739,-0.013899,-0.026113,-0.09566,0.002942,-0.051461,-0.051538,-0.018536,-0.030902,-0.023157,0.007907,0.004695,0.0188,0.004637,0.004789,-0.0,0.0,0.0,-0.0,0.0,0.0,
1020,-0.083205,0.069741,-0.004289,0.058294,-0.023374,0.003377,-0.089244,0.091766,0.005836,0.04199,-0.013355,-0.002309,0.006039,-0.022025,-0.010125,0.016304,-0.010019,0.005687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.118817,0.010849,-0.046766,-0.032739,-0.013899,-0.026113,-0.118817,0.010849,-0.046766,-0.032739,-0.013899,-0.026113,-0.095649,0.002918,-0.051464,-0.051549,-0.018536,-0.030909,-0.023167,0.007931,0.004698,0.018811,0.004637,0.004796,-0.0,0.0,0.0,-0.0,0.0,0.0,
1050,-0.083199,0.069745,-0.004299,0.058286,-0.023378,0.003385,-0.089244,0.091766,0.005836,0.04199,-0.013355,-0.002309,0.006044,-0.022021,-0.010135,0.016296,-0.010023,0.005694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.118817,0.010849,-0.046766,-0.032739,-0.013899,-0.026113,-0.118817,0.010849,-0.046766,-0.032739,-0.013899,-0.026113,-0.095644,0.002927,-0.051466,-0.051546,-0.018541,-0.030907,-0.023172,0.007922,0.0047,0.018807,0.004641,0.004794,-0.0,0.0,0.0,-0.0,0.0,0.0,
1080,-0.0832,0.069737,-0.004294,0.058307,-0.023383,0.003378,-0.089244,0.091766,0.005836,0.04199,-0.013355,-0.002309,0.006044,-0.022029,-0.01013,0.016317,-0.010028,0.005687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.118817,0.010849,-0.046766,-0.032739,-0.013899,-0.026113,-0.118817,0.010849,-0.046766,-0.032739,-0.013899,-0.026113,-0.095639,0.002918,-0.051472,-0.051556,-0.018545,-0.030914,-0.023178,0.00793,0.004706,0.018818,0.004645,0.004801,-0.0,0.0,0.0,-0.0,0.0,0.0,
1110,-0.083203,0.069731,-0.004292,0.058309,-0.023379,0.003376,-0.089244,0.091766,0.005836,0.04199,-0.013355,-0.002309,0.00604,-0.022035,-0.010127,0.016319,-0.010024,0.005685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.118817,0.010849,-0.046766,-0.032739,-0.013899,-0.026113,-0.118817,0.010849,-0.046766,-0.032739,-0.013899,-0.026113,-0.095638,0.002909,-0.051467,-0.051557,-0.018542,-0.030914,-0.023178,0.00794,0.004701,0.018818,0.004643,0.004801,-0.0,0.0,0.0,-0.0,0.0,0.0,
1140,-0.083163,0.069782,-0.0043,0.058265,-0.023362,0.003379,-0.089244,0.091766,0.005836,0.04199,-0.013355,-0.002309,0.006081,-0.021983,-0.010135,0.016275,-0.010007,0.005688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.118817,0.010849,-0.046766,-0.032739,-0.013899,-0.026113,-0.118817,0.010849,-0.046766,-0.032739,-0.013899,-0.026113,-0.095647,0.002976,-0.051449,-0.051516,-0.018536,-0.030891,-0.02317,0.007873,0.004684,0.018778,0.004637,0.004778,-0.0,0.0,0.0,-0.0,0.0,0.0,
1170,-0.083194,0.069736,-0.004287,0.058293,-0.02337,0.003375,-0.089244,0.091766,0.005836,0.04199,-0.013355,-0.002309,0.00605,-0.022029,-0.010123,0.016303,-0.010015,0.005684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.118817,0.010849,-0.046766,-0.032739,-0.013899,-0.026113,-0.118817,0.010849,-0.046766,-0.032739,-0.013899,-0.026113,-0.095638,0.002923,-0.051459,-0.051537,-0.018539,-0.030903,-0.023179,0.007926,0.004694,0.018799,0.00464,0.00479,-0.0,0.0,0.0,-0.0,0.0,0.0,
1200,-5.411852,0.39263,-0.137297,-0.032275,0.001747,-0.026347,-0.089244,0.091766,0.005836,0.04199,-0.013355,-0.002309,-5.322608,0.300864,-0.143133,-0.074265,0.015102,-0.024038,0.0,0.0,8.5,0.0,0.0,0.0,0.0,0.0,6.545036,0.0,0.0,0.0,-3.775762,-3.646097,-3.703711,-0.032739,-0.013899,-0.026113,-3.28931,-3.159645,-3.217259,-0.032739,-0.013899,-0.026113,-3.217106,-2.968397,-3.127396,0.030974,0.027788,-0.002743,-0.072204,-0.191248,-0.089863,-0.063712,-0.041687,-0.02337,-0.0,0.0,0.0,-0.0,0.0,0.0,
